epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.1235,2.89242,1.44071,1.35404,0.05358,0.06698,0.02933,0.00857,4.37643,8.13512,2.09173,0.000662857,0.000662857,0.000662857
2,96.3858,2.58885,1.19163,1.21089,0.26769,0.24456,0.16175,0.05436,3.05066,2.46281,1.4057,0.00131856,0.00131856,0.00131856
3,141.473,2.57399,1.22373,1.1963,0.18549,0.09358,0.0776,0.02223,3.76081,6.06516,1.8043,0.00196325,0.00196325,0.00196325
4,186.629,2.55078,1.2476,1.17885,0.17974,0.16264,0.10162,0.02889,3.07506,2.31296,1.37329,0.0019505,0.0019505,0.0019505
5,227.566,2.49217,1.2376,1.16628,0.13854,0.11995,0.07065,0.01733,3.48958,2.60206,1.51215,0.001934,0.001934,0.001934
6,271.206,2.4822,1.1574,1.16236,0.12743,0.12939,0.06809,0.02033,3.44619,2.69302,1.45416,0.0019175,0.0019175,0.0019175
7,317.203,2.42957,1.15882,1.14738,0.15372,0.12376,0.07316,0.02063,3.77098,2.61387,1.52437,0.001901,0.001901,0.001901
8,360.308,2.41785,1.1225,1.14393,0.18891,0.14874,0.0975,0.02326,3.60334,2.5879,1.51983,0.0018845,0.0018845,0.0018845
9,402.941,2.38168,1.10334,1.13472,0.19553,0.15337,0.10703,0.02727,3.51704,2.50781,1.49255,0.001868,0.001868,0.001868
10,448.262,2.45652,1.12842,1.15518,0.18459,0.13843,0.09127,0.02438,3.48898,2.56224,1.50509,0.0018515,0.0018515,0.0018515
11,490.441,2.33604,1.08457,1.12582,0.13884,0.12257,0.06849,0.01829,3.50579,2.98769,1.47569,0.001835,0.001835,0.001835
12,534.382,2.37642,1.08566,1.13038,0.37366,0.26452,0.2275,0.07327,2.92207,2.44945,1.35415,0.0018185,0.0018185,0.0018185
13,583.702,2.29115,1.04804,1.11014,0.3936,0.2558,0.21766,0.06697,3.09808,2.67285,1.40309,0.001802,0.001802,0.001802
14,628.475,2.27733,1.04671,1.095,0.25679,0.18348,0.13658,0.03664,3.49066,2.86013,1.50903,0.0017855,0.0017855,0.0017855
15,672.424,2.27404,1.03554,1.10874,0.39615,0.26159,0.23715,0.07394,3.02659,2.67487,1.41723,0.001769,0.001769,0.001769
16,721.511,2.19151,1.01458,1.08387,0.28895,0.21612,0.16112,0.04524,3.15003,2.59295,1.38822,0.0017525,0.0017525,0.0017525
17,764.033,2.24373,0.9874,1.10368,0.26091,0.16908,0.12177,0.03311,3.56998,2.90644,1.55597,0.001736,0.001736,0.001736
18,808.789,2.23938,1.01612,1.09467,0.33905,0.23427,0.1903,0.05237,3.03918,2.68773,1.40757,0.0017195,0.0017195,0.0017195
19,853.333,2.15428,0.99668,1.07872,0.45495,0.30628,0.27187,0.10433,2.69371,2.57503,1.32648,0.001703,0.001703,0.001703
20,896.523,2.24075,1.00707,1.10414,0.40137,0.26675,0.22566,0.06934,2.87689,2.57957,1.33757,0.0016865,0.0016865,0.0016865
21,941.088,2.17406,0.99294,1.07366,0.41687,0.27739,0.26659,0.09064,2.98254,2.7101,1.32584,0.00167,0.00167,0.00167
22,986.519,2.28849,1.02792,1.11502,0.4054,0.27634,0.25361,0.07384,2.95925,2.75654,1.31242,0.0016535,0.0016535,0.0016535
23,1029.5,2.15665,0.96595,1.07457,0.2431,0.18774,0.12779,0.02917,3.4689,2.9436,1.43062,0.001637,0.001637,0.001637
24,1073.87,2.28457,0.99199,1.10511,0.30054,0.22435,0.17954,0.04636,3.1668,2.86749,1.37877,0.0016205,0.0016205,0.0016205
25,1118.61,2.12827,0.96399,1.0721,0.43766,0.28344,0.27058,0.10064,2.80006,2.7557,1.31335,0.001604,0.001604,0.001604
26,1161.77,2.13838,0.96856,1.07184,0.38663,0.25723,0.23266,0.06344,3.1248,2.73935,1.34873,0.0015875,0.0015875,0.0015875
27,1206.59,2.13907,0.96147,1.07112,0.24953,0.18257,0.12112,0.03269,3.59276,3.00866,1.46999,0.001571,0.001571,0.001571
28,1251.95,2.16114,0.95253,1.07354,0.43522,0.29032,0.26259,0.08815,2.78685,2.75874,1.30527,0.0015545,0.0015545,0.0015545
29,1294.18,2.12919,0.93841,1.06727,0.40313,0.25443,0.21945,0.06363,3.16357,2.80337,1.3731,0.001538,0.001538,0.001538
30,1338.78,2.02699,0.91198,1.04191,0.3436,0.23138,0.1781,0.04697,3.32704,2.87651,1.42112,0.0015215,0.0015215,0.0015215
31,1383.27,2.09127,0.92644,1.05457,0.44107,0.30053,0.25888,0.08538,2.81694,2.75538,1.31299,0.001505,0.001505,0.001505
32,1425.01,2.05675,0.92037,1.05562,0.46639,0.30832,0.27693,0.09978,2.71463,2.6826,1.29099,0.0014885,0.0014885,0.0014885
